nama_sample,ph_label,ppm_label,ntu_label,status_air,kelayakan,jenis_air,raw_ph,volt_ph,raw_tds,volt_tds,comp_volt_tds,raw_turb,volt_turb,suhu
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48944.10,2.4646,11053.20,0.5566,0.5118,2180,1.7568,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48886.60,2.4617,11040.40,0.5559,0.5112,2169,1.7479,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48766.20,2.4556,10998.80,0.5538,0.5093,2172,1.7503,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48761.40,2.4554,11029.20,0.5554,0.5107,2159,1.7399,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48933.10,2.4640,11064.40,0.5571,0.5123,2172,1.7503,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48830.40,2.4588,11013.20,0.5546,0.5099,2166,1.7455,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48771.00,2.4559,11066.00,0.5572,0.5124,2172,1.7503,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48982.70,2.4665,11072.40,0.5575,0.5127,2173,1.7511,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48841.60,2.4594,11106.00,0.5592,0.5142,2157,1.7382,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48801.70,2.4574,11043.60,0.5561,0.5108,2176,1.7536,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48877.00,2.4612,11096.40,0.5588,0.5138,2173,1.7511,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48966.80,2.4657,11034.00,0.5556,0.5109,2169,1.7479,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48856.10,2.4601,11141.20,0.5610,0.5159,2171,1.7495,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48989.10,2.4668,11094.80,0.5587,0.5137,2172,1.7503,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48795.30,2.4571,11123.60,0.5601,0.5145,2189,1.7640,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48896.30,2.4622,11091.60,0.5585,0.5130,2171,1.7495,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48955.50,2.4651,11125.20,0.5602,0.5145,2180,1.7568,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48814.50,2.4580,11120.40,0.5600,0.5149,2171,1.7495,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48912.30,2.4630,11118.80,0.5599,0.5142,2175,1.7527,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48819.40,2.4583,11107.60,0.5593,0.5137,2173,1.7511,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48992.30,2.4670,11066.00,0.5572,0.5124,2172,1.7503,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48931.50,2.4639,11083.60,0.5581,0.5132,2174,1.7519,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48728.00,2.4537,11106.00,0.5592,0.5142,2169,1.7479,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48931.50,2.4639,11082.00,0.5580,0.5131,2171,1.7495,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48827.30,2.4587,11155.60,0.5617,0.5165,2158,1.7390,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48907.50,2.4627,11133.20,0.5606,0.5149,2169,1.7479,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48859.40,2.4603,11136.40,0.5608,0.5157,2170,1.7487,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48950.70,2.4649,11163.60,0.5621,0.5163,2169,1.7479,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49014.70,2.4681,11173.20,0.5626,0.5174,2170,1.7487,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48841.70,2.4594,11163.60,0.5621,0.5163,2173,1.7511,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49005.10,2.4676,11168.40,0.5624,0.5171,2193,1.7673,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49014.70,2.4681,11182.80,0.5631,0.5172,2174,1.7519,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48948.90,2.4648,11070.80,0.5575,0.5126,2184,1.7600,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48974.60,2.4661,11150.80,0.5615,0.5163,2170,1.7487,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49069.10,2.4709,11163.60,0.5621,0.5163,2172,1.7503,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49104.40,2.4726,11114.00,0.5596,0.5146,2164,1.7439,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49057.90,2.4703,11117.20,0.5598,0.5148,2172,1.7503,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49033.90,2.4691,11133.20,0.5606,0.5149,2172,1.7503,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48952.30,2.4650,11166.80,0.5623,0.5165,2172,1.7503,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49105.90,2.4727,11117.20,0.5598,0.5142,2171,1.7495,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49051.50,2.4700,11120.40,0.5600,0.5143,2174,1.7519,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48790.60,2.4568,11162.00,0.5621,0.5162,2168,1.7471,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,49040.30,2.4694,11170.00,0.5625,0.5166,2172,1.7503,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48963.50,2.4655,11144.40,0.5612,0.5160,2170,1.7487,0.00,29.38
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48865.80,2.4606,11146.00,0.5613,0.5155,2173,1.7511,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48934.50,2.4641,11126.80,0.5603,0.5146,2173,1.7511,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48867.30,2.4607,11155.60,0.5617,0.5159,2170,1.7487,0.00,29.44
Amidis,7.96,1.0,NETRAL,LAYAK,Mineral,48973.10,2.4660,11173.20,0.5626,0.5168,2172,1.7503,0.00,29.44
