nama_sample,ph_label,ppm_label,status_air,kelayakan,jenis_air,raw_ph,volt_ph,raw_tds,volt_tds,comp_volt_tds,raw_turb,volt_turb,ntu_sensor,suhu
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,59804.40,3.0114,13921.20,0.7010,0.6446,2115,1.7044,1.79,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,59980.40,3.0203,15020.70,0.7564,0.6963,2070,1.6681,4.10,29.31
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,46374.00,2.3352,15603.50,0.7857,0.7233,2165,1.7447,0.00,29.31
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,46705.10,2.3518,14071.90,0.7086,0.6516,2164,1.7439,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,46276.20,2.3302,14033.40,0.7066,0.6498,2165,1.7447,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,46269.80,2.3299,14774.40,0.7440,0.6841,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,46256.90,2.3293,14201.50,0.7151,0.6576,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,46916.40,2.3625,13721.20,0.6909,0.6353,2164,1.7439,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,46490.60,2.3410,14619.20,0.7361,0.6769,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,46734.10,2.3533,14439.90,0.7271,0.6686,2165,1.7447,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,46582.00,2.3456,13404.40,0.6750,0.6207,2165,1.7447,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,46735.50,2.3534,14487.90,0.7295,0.6708,2166,1.7455,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,46996.40,2.3665,15683.20,0.7897,0.7262,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,46698.80,2.3515,14795.20,0.7450,0.6851,2161,1.7415,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,46357.90,2.3343,14126.30,0.7113,0.6541,2163,1.7431,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,46535.50,2.3433,14723.10,0.7414,0.6817,2162,1.7423,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,46754.80,2.3543,14150.30,0.7125,0.6552,2165,1.7447,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,47323.00,2.3829,13881.20,0.6990,0.6427,2165,1.7447,0.00,29.38
Keran Mentah,6.68,233.0,NETRAL,TIDAK LAYAK,Air Mentah,46828.60,2.3580,14859.10,0.7482,0.6880,2164,1.7439,0.00,29.38
